Name,Objective,Precondition,Test Script (Step-by-Step) - Step,Test Script (Step-by-Step) - Test Data,Test Script (Step-by-Step) - Expected Result,Labels,Priority,Issue Links
SCRUM-T1 Home page loads and top navigation is visible,Verify the home page renders successfully and key navigation links are present.,Browser is launched with the configured base URL.,1. Navigate to the configured base URL,baseUrl from default.conf,Home page renders without errors,"smoke,tdd,home",High,SCRUM-1
SCRUM-T1 Home page loads and top navigation is visible,Verify the home page renders successfully and key navigation links are present.,Browser is launched with the configured base URL.,2. Inspect the top navigation bar,N/A,Products / Cart / Signup-Login / Contact Us links are visible,"smoke,tdd,home",High,SCRUM-1
SCRUM-T2 Products page lists the catalog,Verify that the Products page renders the catalog grid and at least one product is visible.,User is on the home page.,1. Click the Products link,N/A,Browser navigates to /products,"smoke,tdd,catalog",High,SCRUM-2
SCRUM-T2 Products page lists the catalog,Verify that the Products page renders the catalog grid and at least one product is visible.,User is on the home page.,2. Verify product grid renders,N/A,At least one product card is visible,"smoke,tdd,catalog",High,SCRUM-2
SCRUM-T3 Product search returns results,Verify that searching for a known product returns the Searched Products section.,User is on the Products page.,1. Type a known search term in the search box,Search term: top,Search term is accepted,"regression,tdd,catalog",Medium,SCRUM-2
SCRUM-T3 Product search returns results,Verify that searching for a known product returns the Searched Products section.,User is on the Products page.,2. Submit the search,N/A,Searched Products heading appears,"regression,tdd,catalog",Medium,SCRUM-2
SCRUM-T3 Product search returns results,Verify that searching for a known product returns the Searched Products section.,User is on the Products page.,3. Verify result count,N/A,At least one search result is rendered,"regression,tdd,catalog",Medium,SCRUM-2
SCRUM-T4 Add a single product to the cart,Verify that adding a product from the catalog to the cart updates the cart correctly.,User is on the Products page.,1. Hover over the first product card and click Add to cart,N/A,Cart confirmation modal appears,"smoke,tdd,cart",High,SCRUM-3
SCRUM-T4 Add a single product to the cart,Verify that adding a product from the catalog to the cart updates the cart correctly.,User is on the Products page.,2. Click View Cart,N/A,User is taken to /view_cart,"smoke,tdd,cart",High,SCRUM-3
SCRUM-T4 Add a single product to the cart,Verify that adding a product from the catalog to the cart updates the cart correctly.,User is on the Products page.,3. Verify cart contents,N/A,The added product is shown with quantity 1,"smoke,tdd,cart",High,SCRUM-3
SCRUM-T5 Cart preserves product quantity from product detail page,Verify that the quantity selected on the product detail page is reflected in the cart.,User is on the Products page.,1. Open the first product detail page,N/A,Product detail page renders,"regression,tdd,cart",Medium,SCRUM-3
SCRUM-T5 Cart preserves product quantity from product detail page,Verify that the quantity selected on the product detail page is reflected in the cart.,User is on the Products page.,2. Set quantity to 4 and add to cart,Quantity: 4,Cart confirmation modal appears,"regression,tdd,cart",Medium,SCRUM-3
SCRUM-T5 Cart preserves product quantity from product detail page,Verify that the quantity selected on the product detail page is reflected in the cart.,User is on the Products page.,3. View cart,N/A,Cart shows the product with quantity 4,"regression,tdd,cart",Medium,SCRUM-3
SCRUM-T6 New user can register and delete the account,Verify the registration journey from signup form through account deletion.,User is on the home page.,1. Open Signup-Login and submit unique name + email,Unique name and email,Enter Account Information page is shown,"smoke,bdd,account",High,SCRUM-5
SCRUM-T6 New user can register and delete the account,Verify the registration journey from signup form through account deletion.,User is on the home page.,2. Fill the mandatory account information form and submit,See LoginPage.fillAccountInformation defaults,Account Created confirmation appears,"smoke,bdd,account",High,SCRUM-5
SCRUM-T6 New user can register and delete the account,Verify the registration journey from signup form through account deletion.,User is on the home page.,3. Continue to home and verify Logged in as <name>,N/A,Logged in as <name> is visible in the navigation,"smoke,bdd,account",High,SCRUM-5
SCRUM-T6 New user can register and delete the account,Verify the registration journey from signup form through account deletion.,User is on the home page.,4. Delete the account,N/A,Account Deleted confirmation appears,"smoke,bdd,account",High,SCRUM-5
SCRUM-T7 Login with invalid password is rejected,Verify the login form rejects bad credentials and surfaces an error.,User is on the Signup-Login page.,1. Enter a random unregistered email and an obviously wrong password,Email: random@example.com Password: wrong-password,Form accepts input,"regression,tdd,account,negative",High,SCRUM-6
SCRUM-T7 Login with invalid password is rejected,Verify the login form rejects bad credentials and surfaces an error.,User is on the Signup-Login page.,2. Submit,N/A,Error message Your email or password is incorrect! is displayed,"regression,tdd,account,negative",High,SCRUM-6
SCRUM-T7 Login with invalid password is rejected,Verify the login form rejects bad credentials and surfaces an error.,User is on the Signup-Login page.,3. Verify URL,N/A,User remains on /login (no session created),"regression,tdd,account,negative",High,SCRUM-6
SCRUM-T8 Contact Us form submits successfully with attachment,Verify the Contact Us form posts a message and displays the success banner.,User is on the home page.,1. Open Contact Us,N/A,Contact Us page renders with Get In Touch heading,"regression,bdd,contact",Medium,SCRUM-7
SCRUM-T8 Contact Us form submits successfully with attachment,Verify the Contact Us form posts a message and displays the success banner.,User is on the home page.,2. Fill name / email / subject / message and attach test-upload.txt,Sample form data,Form is filled,"regression,bdd,contact",Medium,SCRUM-7
SCRUM-T8 Contact Us form submits successfully with attachment,Verify the Contact Us form posts a message and displays the success banner.,User is on the home page.,3. Submit and accept the JS confirmation dialog,N/A,Success message Success! Your details have been submitted successfully. is displayed,"regression,bdd,contact",Medium,SCRUM-7
SCRUM-T9 Newsletter subscription succeeds from footer,Verify a visitor can subscribe to the newsletter from the home page footer.,User is on the home page.,1. Scroll to the footer subscription form,N/A,Subscription email field is visible,"smoke,bdd,subscription",Medium,SCRUM-8
SCRUM-T9 Newsletter subscription succeeds from footer,Verify a visitor can subscribe to the newsletter from the home page footer.,User is on the home page.,2. Enter a unique email and submit,Unique email,Subscription form submits,"smoke,bdd,subscription",Medium,SCRUM-8
SCRUM-T9 Newsletter subscription succeeds from footer,Verify a visitor can subscribe to the newsletter from the home page footer.,User is on the home page.,3. Verify success banner,N/A,You have been successfully subscribed! is displayed,"smoke,bdd,subscription",Medium,SCRUM-8
SCRUM-T10 Catalog renders on the configured browser,Verify the catalog smoke flow works on chromium / firefox / webkit driven by configuration.,Browser engine selected via -Dapp.browser.,1. Open the home page on the configured browser,app.browser=chromium|firefox|webkit,Home page renders,"smoke,tdd,cross-browser",High,SCRUM-9
SCRUM-T10 Catalog renders on the configured browser,Verify the catalog smoke flow works on chromium / firefox / webkit driven by configuration.,Browser engine selected via -Dapp.browser.,2. Navigate to Products,N/A,Catalog grid renders,"smoke,tdd,cross-browser",High,SCRUM-9
SCRUM-T10 Catalog renders on the configured browser,Verify the catalog smoke flow works on chromium / firefox / webkit driven by configuration.,Browser engine selected via -Dapp.browser.,3. Verify product count,N/A,At least one product card is rendered,"smoke,tdd,cross-browser",High,SCRUM-9
SCRUM-T11 Product detail page and add to cart,Verify users can view product details and add items to cart with specified quantity.,User is on the Products page.,1. Click on the first product card,N/A,Product detail page renders with name and price,"smoke,bdd,cart",High,SCRUM-3
SCRUM-T11 Product detail page and add to cart,Verify users can view product details and add items to cart with specified quantity.,User is on the Products page.,2. Set quantity and click Add to Cart,Quantity: 1-3,Cart confirmation message appears,"smoke,bdd,cart",High,SCRUM-3
SCRUM-T11 Product detail page and add to cart,Verify users can view product details and add items to cart with specified quantity.,User is on the Products page.,3. Verify cart count increments,N/A,Cart badge in navigation shows updated count,"smoke,bdd,cart",High,SCRUM-3
SCRUM-T12 Cart page and cart management,Verify users can view and manage items in the shopping cart.,User has added at least one product to cart.,1. Navigate to the cart page,N/A,Cart page displays with added product,"regression,bdd,cart",High,SCRUM-4
SCRUM-T12 Cart page and cart management,Verify users can view and manage items in the shopping cart.,User has added at least one product to cart.,2. Update product quantity,New quantity: 3,Cart reflects updated quantity and total,"regression,bdd,cart",High,SCRUM-4
SCRUM-T12 Cart page and cart management,Verify users can view and manage items in the shopping cart.,User has added at least one product to cart.,3. Remove product from cart,N/A,Product is removed and empty cart message is shown,"regression,bdd,cart",High,SCRUM-4
